city_municipality_,province_,region_,person_sum,dead_sum,injured_ill_sum,missing_sum,cost_sum,has_food_mean,has_cash_mean,has_hygiene_health_mean,has_sleeping_essentials_mean,has_shelter_support_mean,num_typhoons,region_first,recurrence_rate,cost_per_family
ALOGUINSAN,CEBU,7,9111.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,0.0
ALORAN,MISAMIS OCCIDENTAL,10,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,1.0,0.0
ALTAVAS,AKLAN,6,11457.0,0.0,0.0,0.0,746786.0,0.3333333333333333,0.5,0.0,0.0,0.0,6,6,1.2,237.98151688973869
ALUBIJID,MISAMIS ORIENTAL,10,1228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,0.75,0.0
AMADEO,CAVITE,4A,3511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4A,0.5,0.0
AMBAGUIO,NUEVA VIZCAYA,2,2621.0,0.0,0.0,0.0,134593.45,0.25,0.125,0.0,0.125,0.0,8,2,1.3333333333333333,160.23029761904763
AMLAN,NEGROS ORIENTAL,7,26431.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,0.0
AMPATUAN,MAGUINDANAO,Barmm,48965.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,3,Barmm,1.0,0.0
AMULUNG,CAGAYAN,2,33433.0,1.0,0.0,0.0,3526265.3,0.4,0.2,0.0,0.0,0.0,5,2,1.25,330.20557168274183
ANAHAWAN,SOUTHERN LEYTE,8,12626.0,0.0,0.0,0.0,4005728.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,8,0.75,1583.9177540529854
ANAO,TARLAC,3,1932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,1.0,0.0
ANDA,BOHOL,7,16734.0,0.0,0.0,0.0,2353200.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,427.1555636231621
ANDA,PANGASINAN,1,43551.0,0.0,0.0,0.0,6428577.25,0.3333333333333333,0.0,0.0,0.0,0.0,3,1,1.0,575.2641834451902
ANGADANAN,ISABELA,2,20429.0,0.0,0.0,0.0,44176.0,0.5,0.0,0.0,0.0,0.0,2,2,0.6666666666666666,7.307857733664186
ANGAT,BULACAN,3,10168.0,0.0,0.0,0.0,85088.0,0.0,0.0,0.0,0.0,0.0,9,3,1.5,36.45586975149957
ANGELES,PAMPANGA,3,1295.0,2.0,1.0,0.0,2598862.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,6,3,1.0,7532.933333333333
ANGONO,RIZAL,4A,10451.0,0.0,0.0,0.0,1434463.0,0.25,0.0,0.0,0.0,0.0,4,4A,0.6666666666666666,546.2539984767708
ANILAO,ILOILO,6,68285.0,0.0,0.0,0.0,260857.0,0.4,0.0,0.0,0.0,0.0,5,6,1.0,14.266954714504484
ANINI Y,ANTIQUE,6,20866.0,0.0,0.0,0.0,1729500.4,0.5,0.25,0.0,0.25,0.0,8,6,1.6,303.314696597685
ANTEQUERA,BOHOL,7,15217.0,3.0,0.0,0.0,1451140.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,322.97796572446026
ANTIPOLO,RIZAL,4A,97077.0,2.0,0.0,0.0,18490224.630000003,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,0.0,7,4A,1.1666666666666667,782.423181702776
ANTIQUE,ANTIQUE,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1.0,0.0
APALIT,PAMPANGA,3,182026.0,0.0,0.0,0.0,2934882.0,0.1,0.0,0.1,0.0,0.0,10,3,1.6666666666666667,59.17458717261125
APARRI,CAGAYAN,2,234886.0,0.0,0.0,0.0,25472077.64,0.6923076923076923,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693,13,2,2.6,385.5200030270009
ARACELI,PALAWAN,4B,17662.0,0.0,0.0,0.0,24735913.04,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,3,4B,0.75,5838.072466367713
ARAYAT,PAMPANGA,3,68443.0,0.0,0.0,0.0,1169610.0,0.1111111111111111,0.0,0.0,0.0,0.0,9,3,1.5,68.27447317728095
ARGAO,CEBU,7,75610.0,0.0,0.0,0.0,9540000.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,400.9077155824508
ARINGAY,LA UNION,1,43187.0,0.0,0.0,0.0,3150580.9,0.16666666666666666,0.0,0.0,0.0,0.0,6,1,1.2,270.5987202611011
ARITAO,NUEVA VIZCAYA,2,3108.0,1.0,1.0,1.0,36658.08,0.25,0.0,0.0,0.0,0.0,8,2,1.3333333333333333,42.52677494199536
AROROY,MASBATE,5,9361.0,0.0,0.0,0.0,565330.6,0.1111111111111111,0.0,0.0,0.0,0.0,9,5,1.5,262.33438515081207
ARTECHE,EASTERN SAMAR,8,88380.0,0.0,56.0,0.0,5064891.7,0.5,0.0,0.0,0.0,0.0,6,8,1.2,211.52189183545627
ASINGAN,PANGASINAN,1,8585.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,3,1,0.75,0.5589194224499301
ASIPULO,IFUGAO,Car,1883.0,3.0,1.0,0.0,243994.8,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,6,Car,1.0,440.4238267148014
ASTURIAS,CEBU,7,23910.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,3,7,1.5,0.0
ASUNCION,DAVAO DEL NORTE,11,21817.0,0.0,0.0,0.0,4227099.5,0.5,0.0,0.0,0.0,0.0,2,11,1.0,463.2437808219178
ATIMONAN,QUEZON,4A,13864.0,0.0,0.0,0.0,2757200.0,0.0,0.14285714285714285,0.0,0.0,0.0,7,4A,1.4,658.2000477440916
ATOK,BENGUET,Car,63345.0,0.0,0.0,0.0,4638835.12,0.375,0.0,0.0,0.0,0.0,8,Car,1.6,301.96817601874756
AURORA,ISABELA,2,4947.0,0.0,0.0,0.0,2199519.7,0.5,0.0,0.16666666666666666,0.16666666666666666,0.0,6,2,1.2,1711.6884824902725
AYUNGON,NEGROS ORIENTAL,7,37073.0,0.0,2.0,0.0,4150895.0,0.6666666666666666,0.0,0.0,0.0,0.0,3,7,0.75,559.721548004315
BAAO,CAMARINES SUR,5,100858.0,0.0,0.0,0.0,260000.0,0.0,0.0,0.0,0.0,0.0,11,5,2.2,10.235817487500492
BABATNGON,LEYTE,8,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,1.5,0.0
BACACAY,ALBAY,5,69489.0,0.0,1.0,0.0,907560.0,0.16666666666666666,0.0,0.0,0.0,0.0,6,5,1.2,47.74872415425896
BACARRA,ILOCOS NORTE,1,29674.0,1.0,0.0,0.0,608807.19,0.16666666666666666,0.0,0.0,0.0,0.0,6,1,1.2,98.06816849226803
BACLAYON,BOHOL,7,22004.0,0.0,0.0,0.0,1472870.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,262.96554186752365
BACNOTAN,LA UNION,1,42051.0,0.0,0.0,0.0,8765732.3,0.4,0.0,0.0,0.0,0.0,5,1,1.0,575.481374737395
BACO,ORIENTAL MINDORO,4B,169164.0,0.0,2.0,0.0,4438526.029999999,0.5,0.0,0.125,0.125,0.125,8,4B,1.3333333333333333,116.21916236809717
BACOLOD CITY,LANAO DEL NORTE,10,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,0.6,0.0
BACOLOD CITY,NEGROS OCCIDENTAL,6,135663.0,1.0,0.0,0.0,5219120.0,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,7,6,1.4,211.257640153815
BACOLOR,PAMPANGA,3,33767.0,0.0,0.0,0.0,2371334.5,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,7,3,1.75,310.3434759848187
BACONG,NEGROS ORIENTAL,7,2093.0,1.0,1.0,0.0,397500.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,501.2610340479193
BACOOR CITY,CAVITE,4A,359545.0,0.0,0.0,0.0,107193332.64,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,6,4A,1.0,1249.6308304966192
BACUAG,SURIGAO DEL NORTE,Caraga,17202.0,0.0,0.0,0.0,6814631.13,0.0,0.0,0.0,0.0,0.0,4,Caraga,1.3333333333333333,1403.9207107540174
BADIAN,CEBU,7,37912.0,0.0,0.0,0.0,265000.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,21.164443734525996
BADIANGAN,ILOILO,6,3338.0,0.0,0.0,0.0,343666.37,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,6,6,1.2,419.6170573870574
BADOC,ILOCOS NORTE,1,11414.0,2.0,0.0,0.0,1117851.27,0.16666666666666666,0.0,0.0,0.0,0.0,6,1,1.2,371.7496740937812
BAGABAG,NUEVA VIZCAYA,2,3069.0,0.0,0.0,0.0,14336.0,0.16666666666666666,0.0,0.0,0.0,0.0,6,2,2.0,15.753846153846155
BAGAC,BATAAN,3,146697.0,0.0,0.0,0.0,4471932.2,0.09090909090909091,0.0,0.0,0.0,0.0,11,3,1.8333333333333333,103.76435018678795
BAGAMANOC,CATANDUANES,5,26135.0,0.0,0.0,0.0,466500.0,0.0,0.0,0.0,0.0,0.0,6,5,1.2,82.6541459957477
BAGANGA,DAVAO ORIENTAL,11,2359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,11,1.0,0.0
BAGGAO,CAGAYAN,2,59357.0,0.0,0.0,0.0,6372039.16,0.5384615384615384,0.07692307692307693,0.15384615384615385,0.0,0.0,13,2,2.1666666666666665,314.42016974242574
BAGO CITY,NEGROS OCCIDENTAL,6,68120.0,1.0,4.0,0.0,3628791.76,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,7,6,1.4,206.94563786712288
BAGUIO CITY,BENGUET,Car,31232.0,9.0,16.0,2.0,1593582.28,0.3076923076923077,0.38461538461538464,0.15384615384615385,0.0,0.0,12,Car,2.0,217.55389488054607
BAGULIN,LA UNION,1,16751.0,0.0,0.0,0.0,3168991.35,0.25,0.0,0.0,0.0,0.0,4,1,0.8,689.5107375979112
BAGUMBAYAN,SULTAN KUDARAT,12,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12,1.0,0.0
BAIS CITY,NEGROS ORIENTAL,7,41475.0,15.0,15.0,0.0,9257000.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,669.5356574569652
BAKUN,BENGUET,Car,32242.0,0.0,0.0,0.0,14770.0,0.0,0.2,0.0,0.0,0.0,5,Car,1.0,1.5151826015592942
BALABAC,PALAWAN,4B,4160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4B,0.75,0.0
BALABAGAN,LANAO DEL SUR,Barmm,10345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Barmm,1.0,0.0
BALAGTAS,BULACAN,3,189305.0,0.0,0.0,0.0,3298910.33,0.125,0.0,0.0,0.0,0.0,8,3,2.0,63.23749362623881
BALAMBAN,CEBU,7,8043.0,0.0,0.0,0.0,886160.0,0.3333333333333333,0.0,0.0,0.0,0.0,3,7,1.5,362.8828828828829
BALANGA CITY,BATAAN,3,267213.0,0.0,0.0,0.0,9718724.0,0.14285714285714285,0.0,0.0,0.0,0.0,7,3,1.1666666666666667,153.05559230211975
BALANGIGA,EASTERN SAMAR,8,85830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,8,1.5,0.0
BALANGKAYAN,EASTERN SAMAR,8,13609.0,0.0,0.0,0.0,180000.0,0.0,0.3333333333333333,0.0,0.0,0.0,3,8,1.5,50.01389274798555
BALAOAN,LA UNION,1,93666.0,0.0,0.0,0.0,18589304.3,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,6,1,1.2,673.0134426704319
BALASAN,ILOILO,6,84212.0,0.0,0.0,0.0,4405248.0,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0,7,6,1.4,181.62226345083488
BALATAN,CAMARINES SUR,5,47139.0,0.0,0.0,0.0,754625.0,0.0,0.0,0.0,0.0,0.0,8,5,1.3333333333333333,65.30722630895715
BALAYAN,BATANGAS,4A,17676.0,0.0,0.0,0.0,291714.65,0.125,0.0,0.125,0.0,0.0,8,4A,1.3333333333333333,65.9689393939394
BALBALAN,KALINGA,Car,4666.0,1.0,2.0,0.0,181041.15,0.5,0.5,0.25,0.25,0.0,4,Car,0.8,191.1733368532207
BALENO,MASBATE,5,879.0,0.0,0.0,0.0,36000.0,0.0,0.0,0.0,0.0,0.0,8,5,1.6,147.54098360655738
BALER,AURORA,3,24356.0,0.0,0.0,0.0,2251262.4,0.2,0.0,0.0,0.0,0.0,10,3,1.6666666666666667,299.96834110592937
BALETE,AKLAN,6,35588.0,0.0,0.0,0.0,17660325.0,0.4,0.4,0.0,0.0,0.0,5,6,1.0,1772.2353236327144
BALETE,BATANGAS,4A,2022.0,0.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,0.0,7,4A,1.1666666666666667,39.92740471869328
BALIGUIAN,ZAMBOANGA DEL NORTE,9,20366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,1.0,0.0
BALILIHAN,BOHOL,7,21171.0,0.0,0.0,0.0,1590000.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,272.4935732647815
BALINGASAG,MISAMIS ORIENTAL,10,12320.0,4.0,1.0,0.0,4670.0,0.25,0.0,0.0,0.0,0.0,4,10,0.8,1.6408995080815179
BALINGASAG,MISAMIS ORIENTAL,9,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,1.0,0.0
BALINGOAN,MISAMIS ORIENTAL,10,3496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,0.5,0.0
BALIWAG,BULACAN,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1.0,0.0
BALIWAG,BULACAN,3,130826.0,0.0,0.0,0.0,7090683.8100000005,0.2222222222222222,0.0,0.0,0.0,0.0,9,3,1.5,193.914669638462
BALLESTEROS,CAGAYAN,2,59397.0,0.0,0.0,0.0,3312361.98,0.4,0.0,0.3,0.3,0.2,10,2,2.0,187.76497817584038
BALUD,MASBATE,5,26862.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,1.3333333333333333,0.0
BALUNGAO,PANGASINAN,1,38004.0,0.0,0.0,0.0,4834038.7,0.16666666666666666,0.0,0.0,0.0,0.0,6,1,1.2,489.96946077437667
BAMBAN,TARLAC,3,3799.0,0.0,0.0,0.0,186430.0,0.0,0.0,0.0,0.0,0.0,7,3,1.1666666666666667,209.00224215246638
BAMBANG,NUEVA VIZCAYA,2,7769.0,0.0,0.0,0.0,2565898.0,0.375,0.125,0.0,0.125,0.0,8,2,1.3333333333333333,1356.900052882073
BANATE,ILOILO,6,109577.0,0.0,0.0,0.0,5258096.640000001,0.8,0.2,0.0,0.0,0.2,5,6,1.0,189.5766022497837
BANAUE,IFUGAO,Car,873.0,0.0,1.0,0.0,127284.95,0.4,0.4,0.2,0.2,0.0,5,Car,1.25,575.9499999999999
BANAYOYO,ILOCOS SUR,1,2244.0,0.0,0.0,0.0,585000.0,0.0,0.0,0.0,0.0,0.0,4,1,1.0,1107.9545454545455
BANGAR,AKLAN,6,26464.0,0.0,0.0,0.0,1676399.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,6,6,1.2,231.00440953562077
BANGAR,LA UNION,1,75749.0,0.0,0.0,0.0,18793778.21,0.4,0.0,0.1,0.1,0.1,10,1,2.0,809.8671985693355
BANGUED,ABRA,Car,71906.0,0.0,39.0,0.0,2058191.8,0.375,0.25,0.125,0.25,0.25,8,Car,1.6,108.87599449851884
BANGUI,ILOCOS NORTE,1,6130.0,0.0,0.0,0.0,709511.6,0.1111111111111111,0.0,0.0,0.0,0.0,9,1,1.5,379.41796791443846
BANGUINGUI,SULU,Barmm,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Barmm,1.0,0.0
BANI,PANGASINAN,1,82681.0,0.0,0.0,0.0,8503139.65,0.125,0.0,0.0,0.0,0.0,8,1,1.6,410.66066116101615
BANNA,ILOCOS NORTE,1,6109.0,0.0,0.0,0.0,110332.0,0.2,0.0,0.0,0.0,0.0,5,1,1.0,64.0348229831689
BANSUD,MARINDUQUE,4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4B,1.0,0.0
BANTAY,ILOCOS SUR,1,11838.0,0.0,0.0,0.0,64930.0,0.0,0.0,0.0,0.0,0.0,7,1,1.4,19.61631419939577
BANTAYAN,CEBU,7,15407.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,4,7,0.8,0.0
BANTON,ROMBLON,4B,8101.0,0.0,0.0,0.0,404225.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.14285714285714285,7,4B,1.4,167.24244931733554
BARAS,CATANDUANES,5,33079.0,0.0,0.0,0.0,1643561.45,0.0,0.0,0.0,0.0,0.0,6,5,1.2,142.29969264069263
BARAS,RIZAL,4A,1263.0,0.0,0.0,0.0,641110.0,0.0,0.0,0.2,0.0,0.0,5,4A,0.8333333333333334,2195.582191780822
BARBAZA,ANTIQUE,6,70239.0,0.0,0.0,0.0,9258927.530000001,0.625,0.375,0.0,0.125,0.0,8,6,1.3333333333333333,433.55157941562095
BARCELONA,SORSOGON,5,16078.0,0.0,0.0,0.0,589326.5,0.16666666666666666,0.0,0.0,0.0,0.0,6,5,1.2,133.69475952813067
BARILI,CEBU,7,89014.0,0.0,0.0,0.0,4826000.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,241.91688806456463
BARIRA,MAGUINDANAO,Barmm,11735.0,4.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2,Barmm,0.6666666666666666,0.0
BARLIG,MOUNTAIN PROVINCE,Car,351.0,0.0,0.0,0.0,60017.78,0.3333333333333333,0.0,0.0,0.0,0.0,9,Car,1.8,444.57614814814815
BAROBO,SURIGAO DEL SUR,Caraga,40308.0,0.0,0.0,0.0,468289.0,0.3333333333333333,0.0,0.0,0.0,0.0,3,Caraga,1.0,43.65516919921693
BAROTAC NUEVO,ILOILO,6,77268.0,0.0,0.0,0.0,6622335.359999999,0.6,0.4,0.0,0.0,0.0,5,6,1.0,356.21189607874777
BAROTAC VIEJO,ILOILO,6,73512.0,0.0,0.0,0.0,7639929.92,0.6,0.4,0.0,0.0,0.0,5,6,1.0,382.5895097400971
BAROY,LANAO DEL NORTE,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,1.0,0.0
BARUGO,LEYTE,8,1860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,2.0,0.0
BASAY,NEGROS ORIENTAL,7,15955.0,0.0,1.0,0.0,2252000.0,0.3333333333333333,0.0,0.0,0.0,0.0,3,7,1.5,574.3432797755675
BASCO,BATANES,2,43441.0,0.0,0.0,0.0,17688014.37,0.4444444444444444,0.1111111111111111,0.0,0.0,0.0,9,2,1.8,1241.2641663157895
BASEY,SAMAR,8,7850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,1.0,0.0
BASILISA,DINAGAT ISLANDS,13,24700.0,0.0,0.0,0.0,12639847.87,0.0,0.2,0.0,0.0,0.0,5,13,1.25,1828.1527147816025
BASISTA,PANGASINAN,1,58826.0,0.0,0.0,0.0,6718773.0,0.16666666666666666,0.0,0.0,0.0,0.0,6,1,1.2,537.4588432925366
BASUD,CAMARINES NORTE,5,28538.0,0.0,1.0,0.0,1226218.56,0.2222222222222222,0.0,0.0,0.0,0.0,9,5,1.8,147.39975477821855
BASUD,ORIENTAL MINDORO,4B,26037.0,0.0,0.0,0.0,1277207.4,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,6,4B,1.0,180.0658959537572
BATAC,ILOCOS NORTE,1,37864.0,0.0,0.0,0.0,2021821.57,0.25,0.125,0.0,0.0,0.0,8,1,1.6,179.58976461183158
BATAD,ILOILO,6,53964.0,0.0,0.0,0.0,2905190.0,0.6,0.0,0.0,0.0,0.0,5,6,1.0,187.05749790741098
BATAN,AKLAN,6,37254.0,1.0,0.0,0.0,3516321.0,0.25,0.25,0.0,0.0,0.0,4,6,1.0,381.29700715679894
BATANGAS CITY,BATANGAS,4A,53887.0,1.0,2.0,0.0,5544284.23,0.1,0.1,0.0,0.0,0.0,10,4A,1.6666666666666667,414.77401286750955
BATANGAS PROVINCE,BATANGAS,4A,0.0,0.0,0.0,0.0,18015592.0,0.0,0.0,0.0,0.0,0.0,1,4A,1.0,18015592.0
BATARAZA,PALAWAN,4B,6122.0,0.0,0.0,0.0,2091190.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,3,4B,0.75,1557.1034996276992
BATO,CAMARINES SUR,5,84573.0,1.0,1.0,0.0,3259754.0,0.2,0.0,0.0,0.0,0.0,10,5,1.6666666666666667,149.92889338607304
BATO,CATANDUANES,5,61352.0,1.0,0.0,0.0,2413068.8,0.125,0.0,0.0,0.0,0.0,8,5,1.3333333333333333,159.39420040953826
BATO,LEYTE,8,107437.0,0.0,0.0,0.0,11110140.82,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,3,8,1.5,466.1076027857023
BATUAN,AKLAN,6,4659.0,0.0,0.0,0.0,762175.0,1.0,1.0,0.0,0.0,0.0,1,6,1.0,607.7950558213716
BATUAN,BATANGAS,4A,4255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4A,1.5,0.0
BATUAN,BOHOL,7,14687.0,1.0,1.0,1.0,2500360.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,640.953601640605
BATUAN,MASBATE,5,4287.0,0.0,0.0,0.0,373200.0,0.14285714285714285,0.0,0.0,0.0,0.0,7,5,1.4,332.3241317898486
BAUANG,BATANGAS,4A,1132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4A,1.0,0.0
BAUANG,LA UNION,1,100748.0,0.0,0.0,0.0,10618340.3,0.25,0.125,0.0,0.0,0.0,8,1,1.6,352.1487182038272
BAUKO,KALINGA,Car,0.0,0.0,0.0,0.0,30064.15,1.0,1.0,0.0,0.0,0.0,1,Car,1.0,30064.15
BAUKO,MOUNTAIN PROVINCE,Car,1353.0,0.0,1.0,0.0,73332.69,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,7,Car,1.4,203.70191666666668
BAUTISTA,PANGASINAN,1,11627.0,0.0,0.0,0.0,1280014.65,0.2,0.0,0.0,0.0,0.0,5,1,1.0,381.07015480797855
BAY,LAGUNA,4A,21212.0,0.0,0.0,0.0,3906051.0799999996,0.125,0.125,0.125,0.0,0.125,8,4A,1.3333333333333333,644.8821330691761
BAYABAS,SURIGAO DEL SUR,Caraga,9450.0,0.0,0.0,0.0,1032170.0,0.0,0.0,0.0,0.0,0.0,2,Caraga,0.6666666666666666,378.63903154805575
BAYAMBANG,PANGASINAN,1,8857.0,0.0,0.0,0.0,659685.0,0.0,0.0,0.0,0.0,0.0,5,1,1.0,288.95532194480944
BAYAWAN CITY,NEGROS ORIENTAL,7,28704.0,3.0,12.0,0.0,434070.0,0.3333333333333333,0.0,0.0,0.0,0.0,3,7,0.6,57.2954065469905
BAYBAY,LEYTE,8,148999.0,95.0,1.0,1.0,5712925.02,0.5,0.5,0.5,0.25,0.5,4,8,1.0,149.89046072309387
BAYOG,ZAMBOANGA DEL SUR,9,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,1.0,0.0
BAYOMBONG,NUEVA VIZCAYA,2,8716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2,1.2,0.0
BAYUGAN,AGUSAN DEL SUR,Caraga,4372.0,0.0,0.0,0.0,645000.0,0.0,0.0,0.0,0.0,0.0,1,Caraga,1.0,589.5795246800732
BELISON,ANTIQUE,6,42108.0,0.0,0.0,0.0,4370399.0,0.3333333333333333,0.4444444444444444,0.0,0.1111111111111111,0.0,9,6,1.8,394.36915719184265
BENITO SOLIVEN,ISABELA,2,3640.0,0.0,0.0,0.0,63305.2,0.5,0.0,0.0,0.0,0.0,4,2,0.8,60.928970163618864
BESAO,KALINGA,Car,0.0,0.0,0.0,0.0,42813.9,1.0,0.0,0.0,0.0,0.0,1,Car,1.0,42813.9
BESAO,MOUNTAIN PROVINCE,Car,7208.0,0.0,0.0,0.0,259473.04,0.4,0.1,0.0,0.0,0.0,10,Car,2.0,168.48898701298702
BIEN UNIDO,BOHOL,7,31627.0,7.0,0.0,3.0,2917300.0,0.5,0.0,0.0,0.0,0.0,2,7,0.4,366.21893045443136
BILAR,BOHOL,7,10308.0,0.0,0.0,0.0,2401000.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,698.5743380855397
BILIRAN,BILIRAN,8,6365.0,0.0,0.0,0.0,1087860.0,0.25,0.0,0.0,0.0,0.0,4,8,1.0,788.304347826087
BINALBAGAN,NEGROS OCCIDENTAL,6,178222.0,2.0,0.0,0.0,12578337.56,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,9,6,1.8,343.83952654310866
BINALONAN,PANGASINAN,1,7435.0,0.0,0.0,0.0,433900.0,0.0,0.0,0.0,0.0,0.0,6,1,1.2,217.93068809643395
BINANGONAN,RIZAL,4A,26455.0,0.0,0.0,0.0,102200.0,0.0,0.125,0.0,0.0,0.0,8,4A,1.3333333333333333,14.937152879275066
BINDOY,NEGROS ORIENTAL,7,48123.0,9.0,14.0,2.0,3705900.0,0.5,0.0,0.0,0.0,0.0,2,7,0.5,321.58104824713644
BINGAWAN,ILOILO,6,23269.0,0.0,0.0,0.0,1297651.0,0.4,0.0,0.0,0.0,0.0,5,6,1.0,217.65363971821537
BINIDAYAN,LANAO DEL SUR,Barmm,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Barmm,1.0,0.0
BINMALEY,PANGASINAN,1,228018.0,0.0,0.0,0.0,14226512.32,0.25,0.0,0.0,0.0,0.0,4,1,1.0,224.5239701403027
BINUANGAN,MISAMIS ORIENTAL,10,2312.0,1.0,0.0,0.0,5000.0,0.25,0.0,0.0,0.0,0.0,4,10,1.0,8.064516129032258
BINUANGAN,MISAMIS ORIENTAL,9,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,1.0,0.0
BIRI,NORTHERN SAMAR,8,9173.0,0.0,0.0,0.0,927976.5,0.5,0.25,0.25,0.25,0.0,4,8,0.8,361.5023373587846
BISLIG,SURIGAO DEL SUR,Caraga,20282.0,0.0,0.0,0.0,3000.0,0.5,0.0,0.0,0.0,0.0,2,Caraga,0.6666666666666666,0.5958291956305859
BIÑAN,LAGUNA,4A,172956.0,3.0,0.0,0.0,24793760.4,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,7,4A,1.1666666666666667,586.8901292430053
BOAC,MARINDUQUE,4B,49558.0,0.0,0.0,0.0,3889300.62,0.45454545454545453,0.0,0.09090909090909091,0.09090909090909091,0.0,11,4B,1.8333333333333333,291.2461150217163
BOCAUE,BULACAN,3,242122.0,0.0,0.0,0.0,340379.79,0.1111111111111111,0.0,0.0,0.0,0.0,9,3,1.5,4.4529597456795615
