city_municipality_,province_,region_,person_sum,dead_sum,injured_ill_sum,missing_sum,cost_sum,has_food_mean,has_cash_mean,has_hygiene_health_mean,has_sleeping_essentials_mean,has_shelter_support_mean,num_typhoons,region_first,recurrence_rate,cost_per_family
TUBAJON,DINAGAT ISLANDS,13,14432.0,0.0,16.0,0.0,11120438.09,0.0,0.2,0.0,0.0,0.0,5,13,1.6666666666666667,3708.0487129043013
TUBAO,LA UNION,1,1177.0,0.0,0.0,3.0,1380614.4,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,1,0.6,4355.25047318612
TUBAY,AGUSAN DEL NORTE,Caraga,20530.0,0.0,0.0,0.0,1210272.0,0.0,0.0,0.0,0.0,0.0,5,Caraga,1.0,282.1146853146853
TUBIGON,BOHOL,7,53801.0,3.0,0.0,0.0,4444580.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,309.46804066286035
TUBLAY,BENGUET,Car,10911.0,0.0,1.0,0.0,12728878.6,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,6,Car,1.2,3944.4929036256585
TUBO,ABRA,Car,20798.0,0.0,1.0,0.0,962382.0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,0.0,9,Car,1.8,168.72054698457222
TUBOD,LANAO DEL NORTE,10,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,0.6,0.0
TUBOD,SURIGAO DEL NORTE,Caraga,23724.0,0.0,0.0,0.0,6673367.71,0.0,0.0,0.0,0.0,0.0,1,Caraga,1.0,1392.3153995409973
TUBUNGAN,ILOILO,6,13723.0,0.0,0.0,0.0,2336628.8,0.375,0.5,0.0,0.0,0.0,8,6,1.3333333333333333,790.4698240866035
TUBUNGAN,ZAMBOANGA DEL SUR,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,1.0,0.0
TUBURAN,CEBU,7,13241.0,0.0,0.0,0.0,2991130.0,0.3333333333333333,0.0,0.0,0.0,0.0,3,7,1.5,474.78253968253966
TUDELA,CEBU,7,4586.0,0.0,0.0,0.0,1839100.0,0.5,0.0,0.0,0.0,0.0,2,7,1.0,1197.3307291666667
TUDELA,MISAMIS OCCIDENTAL,10,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,1.0,0.0
TUGUEGARAO CITY,CAGAYAN,2,80913.0,0.0,1.0,0.0,1848787.375,0.375,0.125,0.0,0.0,0.0,8,2,1.3333333333333333,74.22166184913084
TUKURAN,ZAMBOANGA DEL SUR,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9,1.0,0.0
