typhoon_name,year,region,province,city_municipality,families,person,brgy,dead,injured_ill,missing,totally,partially,total,cost,has_food,has_cash,has_hygiene_health,has_sleeping_essentials,has_shelter_support,aid_diversity
ODETTE,2021,10,MISAMIS ORIENTAL,OPOL,1015.0,3393.0,2.0,0.0,0.0,0.0,6.0,9.0,15.0,0.0,0,0,0,0,0,0
ODETTE,2021,8,EASTERN SAMAR,ORAS,681.0,2897.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,8,LEYTE,ORMOC CITY,1303.0,5544.0,40.0,0.0,0.0,0.0,76.0,1227.0,1303.0,0.0,0,0,0,0,0,0
ODETTE,2021,10,MISAMIS OCCIDENTAL,OROQUIETA,162.0,576.0,5.0,0.0,0.0,0.0,4.0,16.0,20.0,0.0,0,0,0,0,0,0
ODETTE,2021,7,CEBU,OSLOB,6439.0,29630.0,21.0,1.0,0.0,0.0,239.0,6163.0,6402.0,1765000.0,1,0,0,0,0,1
ODETTE,2021,6,ILOILO,OTON,2703.0,10813.0,37.0,0.0,0.0,0.0,126.0,2491.0,2617.0,39600.0,0,1,0,0,0,1
ODETTE,2021,10,MISAMIS OCCIDENTAL,OZAMIZ,6.0,25.0,2.0,0.0,0.0,0.0,3.0,7.0,10.0,0.0,0,0,0,0,0,0
ODETTE,2021,8,SOUTHERN LEYTE,PADRE BURGOS,3696.0,11264.0,11.0,1.0,0.0,0.0,1210.0,1623.0,2833.0,6640299.55,1,1,1,1,1,7
ODETTE,2021,5,MASBATE,PALANAS,53.0,193.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,8,LEYTE,PALO,368.0,1840.0,1.0,0.0,0.0,0.0,10.0,358.0,368.0,0.0,0,0,0,0,0,0
ODETTE,2021,7,NEGROS ORIENTAL,PAMPLONA,2237.0,7970.0,16.0,0.0,0.0,0.0,513.0,1724.0,2237.0,2782000.0,1,0,0,0,0,1
ODETTE,2021,10,MISAMIS OCCIDENTAL,PANAON,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,6,CAPIZ,PANAY,2036.0,6826.0,42.0,0.0,0.0,0.0,4.0,104.0,108.0,597692.66,1,1,0,0,0,2
ODETTE,2021,6,ANTIQUE,PANDAN,924.0,3363.0,26.0,0.0,0.0,0.0,3.0,274.0,277.0,348741.0,1,1,0,0,0,2
ODETTE,2021,7,BOHOL,PANGLAO,12500.0,37500.0,10.0,1.0,11.0,0.0,543.0,4515.0,5058.0,5892000.0,1,0,0,0,0,1
ODETTE,2021,6,CAPIZ,PANITAN,2698.0,11623.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,10,LANAO DEL NORTE,PANTAR,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,6,ILOILO,PASSI CITY,794.0,3159.0,24.0,0.0,0.0,0.0,1.0,36.0,37.0,0.0,0,0,0,0,0,0
