province_,region_,person_sum,dead_sum,injured_ill_sum,missing_sum,totally_sum,partially_sum,cost_sum,has_food_mean,has_cash_mean,has_hygiene_health_mean,has_sleeping_essentials_mean,has_shelter_support_mean,num_typhoons,recurrence_rate,cost_per_family
MOUNTAIN PROVINCE,CAR,24757.0,2.0,8.0,0.0,13.0,428.0,2044515.27,0.32926829268292684,0.08536585365853659,0.0975609756097561,0.07317073170731707,0.012195121951219513,29,4.833333333333333,319.2559759525297
NAGA,5,326252.0,0.0,0.0,0.0,121.0,3850.0,44475908.14,0.6,0.6,0.0,0.0,0.0,11,2.75,550.369481134994
NCR,NCR,2730661.0,0.0,0.0,0.0,20.0,0.0,378434130.36,0.2814814814814815,0.014814814814814815,0.0,0.0,0.0,22,3.6666666666666665,551.682202506254
NEGROS OCCIDENTAL,6,2803452.0,53.0,173.0,7.0,48543.0,285144.0,226606349.75,0.5173913043478261,0.24782608695652175,0.09565217391304348,0.1,0.004347826086956522,26,4.333333333333333,316.29538558062865
NEGROS ORIENTAL,6,503.0,0.0,0.0,0.0,0.0,0.0,306830.0,0.0,0.0,0.0,0.0,0.0,3,3.0,51138.333333333336
NEGROS ORIENTAL,7,534635.0,66.0,91.0,6.0,24412.0,109147.0,65148888.0,0.5094339622641509,0.0,0.0,0.0,0.0,12,2.4,416.8381693357988
NORTHERN SAMAR,8,1218796.0,1.0,74.0,0.0,5293.0,43178.0,49610127.92,0.3125,0.017857142857142856,0.044642857142857144,0.0625,0.07142857142857142,11,2.2,161.17440942937714
NUEVA ECIJA,3,1417983.0,0.0,26.0,0.0,42.0,237.0,66205636.41,0.125,0.0,0.011904761904761904,0.005952380952380952,0.0,18,3.0,175.2765570619584
NUEVA VIZCAYA,2,58666.0,2.0,1.0,1.0,564.0,5132.0,11205706.89,0.3090909090909091,0.01818181818181818,0.0,0.02727272727272727,0.00909090909090909,26,4.333333333333333,681.2808177285992
OCCIDENTAL MINDORO,4B,519557.0,4.0,0.0,3.0,1855.0,5888.0,47571128.160000004,0.4368932038834951,0.009708737864077669,0.04854368932038835,0.04854368932038835,0.009708737864077669,26,4.333333333333333,400.8521437539499
OLONGAPO,3,3468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.75,0.0
ORIENTAL MINDORO,4B,665560.0,2.0,4.0,0.0,3690.0,36518.0,65266452.53,0.4049586776859504,0.04132231404958678,0.06611570247933884,0.049586776859504134,0.06611570247933884,24,4.0,424.66850066368227
PALAWAN,4B,699143.0,29.0,3.0,4.0,15660.0,75300.0,477540047.94,0.4634146341463415,0.06504065040650407,0.06504065040650407,0.07317073170731707,0.07317073170731707,26,4.333333333333333,2463.9216561324574
PAMPANGA,3,4273937.0,2.0,1.0,0.0,56.0,123.0,60340166.07,0.14594594594594595,0.010810810810810811,0.032432432432432434,0.005405405405405406,0.0,29,4.833333333333333,49.5097579821342
PANGASINAN,1,2981703.0,6.0,0.0,0.0,6797.0,60747.0,241005894.65,0.1925925925925926,0.011111111111111112,0.02962962962962963,0.03333333333333333,0.0,25,5.0,312.6199304599811
QUEZON,4A,1393238.0,5.0,3.0,0.0,2427.0,32350.0,69236773.74,0.029605263157894735,0.03618421052631579,0.006578947368421052,0.0,0.0,18,3.0,186.95461937678888
QUIRINO,2,287861.0,0.0,0.0,0.0,19.0,408.0,50567132.400000006,0.625,0.0,0.075,0.125,0.125,16,3.2,697.4873087904662
RIZAL,4A,716944.0,7.0,0.0,0.0,400.0,1030.0,111238158.38,0.08653846153846154,0.028846153846153848,0.10576923076923077,0.0,0.0,22,3.6666666666666665,645.0196766730257
ROMBLON,4B,66386.0,6.0,0.0,0.0,55.0,1233.0,6715791.2,0.25961538461538464,0.0,0.028846153846153848,0.009615384615384616,0.009615384615384616,22,3.6666666666666665,401.6621531100479
SAMAR,8,575751.0,0.0,13.0,0.0,249.0,5120.0,33515924.35,0.3424657534246575,0.0,0.0,0.0,0.0,13,2.6,233.32306050986455
SARANGANI,12,36172.0,0.0,7.0,0.0,154.0,893.0,5005500.0,0.05555555555555555,0.3333333333333333,0.0,0.0,0.0,13,3.25,595.3258801141769
SIQUIJOR,7,16688.0,0.0,0.0,0.0,158.0,4516.0,19520.0,0.875,0.0,0.0,0.0,0.0,7,1.75,4.084536513915045
SORSOGON,5,1019687.0,3.0,8.0,0.0,1490.0,26184.0,51113102.730000004,0.29365079365079366,0.007936507936507936,0.023809523809523808,0.007936507936507936,0.007936507936507936,23,3.8333333333333335,198.5429777308199
SOUTH COTABATO,12,22814.0,0.0,0.0,0.0,24.0,323.0,740540.0,0.2,0.1,0.0,0.0,0.0,10,2.0,160.53327552568828
SOUTHERN LEYTE,8,508176.0,18.0,94.0,4.0,35027.0,65670.0,133530313.99,0.49019607843137253,0.37254901960784315,0.39215686274509803,0.39215686274509803,0.3137254901960784,9,2.25,1024.3039688712968
SULTAN KUDARAT,12,296654.0,2.0,10.0,0.0,350.0,916.0,20000019.46,0.35,0.15,0.05,0.0,0.05,13,3.25,329.81018551804885
SULU,BARMM,1289.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0
SURIGAO DEL NORTE,13,12888.0,0.0,0.0,0.0,15.0,14.0,2964415.7399999998,0.0,0.0,0.0,0.0,0.0,2,2.0,998.7923652291105
SURIGAO DEL NORTE,CARAGA,664918.0,19.0,374.0,0.0,47978.0,69969.0,355563260.74,0.02127659574468085,0.2553191489361702,0.0,0.0,0.0,9,1.8,1993.581645155141
SURIGAO DEL SUR,13,1.0,0.0,0.0,0.0,1.0,0.0,1560.0,0.0,0.0,0.0,0.0,0.0,2,2.0,1560.0
SURIGAO DEL SUR,CARAGA,628763.0,0.0,4.0,0.0,367.0,9690.0,27612203.18,0.275,0.0,0.0,0.0,0.0,4,1.3333333333333333,165.88289505935504
TARLAC,3,467250.0,0.0,0.0,0.0,21.0,47.0,16133023.47,0.12244897959183673,0.0,0.01020408163265306,0.0,0.0,19,3.1666666666666665,124.57067439328542
TAWI TAWI,BARMM,1615.0,0.0,0.0,0.0,134.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.0,0.0
ZAMBALES,3,176692.0,2.0,4.0,0.0,165.0,302.0,16125246.3,0.1366906474820144,0.0,0.007194244604316547,0.0,0.007194244604316547,29,4.833333333333333,302.61126165856587
ZAMBOANGA CITY,9,96666.0,7.0,0.0,0.0,315.0,361.0,13865559.72,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,12,2.4,658.9155405598061
ZAMBOANGA DEL NORTE,9,233216.0,0.0,1.0,0.0,118.0,185.0,4355621.0,0.25,0.03571428571428571,0.0,0.03571428571428571,0.0,13,2.6,86.47080661491731
ZAMBOANGA DEL SUR,9,19519.0,0.0,0.0,0.0,70.0,222.0,397129.4,0.14285714285714285,0.0,0.14285714285714285,0.07142857142857142,0.0,13,2.6,84.60362164465275
ZAMBOANGA SIBUGAY,9,4093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4.5,0.0
