city_municipality_,province_,region_,person_sum,dead_sum,injured_ill_sum,missing_sum,totally_sum,partially_sum,cost_sum,has_food_mean,has_cash_mean,has_hygiene_health_mean,has_sleeping_essentials_mean,has_shelter_support_mean,num_typhoons,recurrence_rate,cost_per_family
SANTA ROSA CITY,LAGUNA,4A,243677.0,0.0,0.0,0.0,62.0,185.0,6572327.13,0.0,0.0,0.0,0.0,0.0,8,1.3333333333333333,118.28390918580375
SANTA TERESITA,BATANGAS,4A,2160.0,0.0,0.0,0.0,75.0,491.0,819324.0,0.0,0.0,0.0,0.0,0.0,12,2.0,1569.5862068965516
SANTA TERESITA,CAGAYAN,2,63273.0,0.0,0.0,0.0,15.0,743.0,18626970.62,0.6153846153846154,0.07692307692307693,0.3076923076923077,0.23076923076923078,0.07692307692307693,22,4.4,1106.0489650258298
SANTANDER,CEBU,7,3774.0,0.0,0.0,0.0,47.0,595.0,265000.0,1.0,0.0,0.0,0.0,0.0,1,1.0,210.65182829888712
SANTIAGO,AGUSAN DEL NORTE,CARAGA,17151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0
SANTIAGO CITY,ILOCOS SUR,1,12976.0,0.0,0.0,0.0,13.0,216.0,62890.19,0.125,0.0,0.0,0.0,0.0,17,3.4,19.028801815431166
SANTIAGO CITY,ISABELA,2,82666.0,0.0,0.0,0.0,228.0,2509.0,17875780.48,0.8,0.0,0.0,0.0,0.0,10,2.0,727.0715236313349
SANTO DOMINGO,ALBAY,5,60963.0,0.0,0.0,0.0,377.0,4317.0,2326661.84,0.2222222222222222,0.0,0.0,0.0,0.0,12,2.4,129.3308415786548
SANTO DOMINGO,ILOCOS SUR,1,11306.0,0.0,0.0,0.0,17.0,161.0,5425.25,0.0,0.0,0.0,0.0,0.0,13,2.6,1.495795423214778
SANTO DOMINGO,NUEVA ECIJA,3,4443.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2.3333333333333335,0.0
SANTO NIÑO,CAGAYAN,2,20133.0,1.0,0.0,0.0,1.0,10.0,2119673.71,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,18,6.0,338.7142393736018
SANTO NIÑO,SAMAR,8,22990.0,0.0,0.0,0.0,75.0,513.0,1159000.0,0.3333333333333333,0.0,0.0,0.0,0.0,4,1.0,212.1544938678382
SANTO NIÑO,SOUTH COTABATO,12,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0
SANTO TOMAS,ISABELA,2,43186.0,0.0,0.0,0.0,0.0,0.0,4494813.2700000005,0.8,0.0,0.0,0.0,0.2,8,2.6666666666666665,339.0264949464475
SANTO TOMAS,LA UNION,1,81092.0,0.0,0.0,0.0,5.0,93.0,4428127.6,0.25,0.0,0.125,0.0,0.0,15,3.0,187.56894273127753
SANTO TOMAS,PAMPANGA,3,138503.0,0.0,0.0,0.0,0.0,0.0,723230.0,0.16666666666666666,0.0,0.0,0.0,0.0,14,4.666666666666667,17.213614185409973
SANTO TOMAS,PANGASINAN,1,2099.0,0.0,0.0,0.0,0.0,0.0,849763.6,1.0,0.0,0.0,0.0,0.0,3,3.0,1124.025925925926
SANTO TOMAS CITY,BATANGAS,4A,34379.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1.8333333333333333,0.0
SANTOL,LA UNION,1,23637.0,0.0,0.0,0.0,82.0,924.0,8212597.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,6,1.2,1242.8264981840193
SAPAD,LANAO DEL NORTE,10,366.0,0.0,0.0,0.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3.5,0.0
SAPI AN,CAPIZ,6,33446.0,0.0,0.0,0.0,0.0,0.0,1062542.32,1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,3,1.5,113.04844345143101
SARA,ILOILO,6,102891.0,3.0,0.0,0.0,933.0,3837.0,8262734.0,0.75,0.75,0.25,0.25,0.0,5,1.25,263.8586619830752
SARANGANI,DAVAO OCCIDENTAL,11,560.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.5,0.0
SARIAYA,QUEZON,4A,17205.0,0.0,0.0,0.0,49.0,765.0,1518587.0,0.14285714285714285,0.0,0.0,0.0,0.0,12,2.0,295.79022204908455
SARRAT,ILOCOS NORTE,1,3947.0,0.0,0.0,0.0,4.0,196.0,52834.92,0.25,0.0,0.0,0.0,0.0,15,3.0,45.784159445407276
SASMUAN,PAMPANGA,3,88895.0,0.0,0.0,0.0,0.0,0.0,4001728.0,0.2222222222222222,0.0,0.0,0.0,0.0,16,2.6666666666666665,149.63646561717084
SCIENCE CITY OF MUÑOZ,NUEVA ECIJA,3,8533.0,0.0,0.0,0.0,0.0,0.0,1008195.6,0.25,0.0,0.0,0.0,0.0,6,1.2,415.4081582200247
SEBASTE,ANTIQUE,6,13429.0,0.0,0.0,2.0,68.0,323.0,2189829.92,0.5454545454545454,0.18181818181818182,0.0,0.0,0.0,20,4.0,592.8072333513805
SENATOR NINOY AQUINO,SULTAN KUDARAT,12,3020.0,0.0,0.0,0.0,1.0,0.0,312930.0,0.5,0.0,0.0,0.0,0.0,3,1.0,472.7039274924471
SEVILLA,BOHOL,7,12015.0,0.0,0.0,0.0,213.0,1849.0,1590000.0,1.0,0.0,0.0,0.0,0.0,1,1.0,544.7070914696814
SHARIFF AGUAK,MAGUINDANAO,BARMM,13410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.6666666666666667,0.0
SHARIFF AGUAK,MAGUINDANAO DEL SUR,BARMM,7125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0
SHARIFF SAYDONA MUSTAPHA,MAGUINDANAO,BARMM,58105.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2.3333333333333335,0.0
SHARIFF SAYDONA MUSTAPHA,MAGUINDANAO DEL SUR,BARMM,28230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0
SIATON,NEGROS ORIENTAL,7,12776.0,0.0,0.0,0.0,245.0,2753.0,1635810.0,0.3333333333333333,0.0,0.0,0.0,0.0,7,1.75,496.60291438979965
SIBAGAT,AGUSAN DEL SUR,CARAGA,5997.0,0.0,0.0,0.0,31.0,24.0,1160662.0,0.0,0.0,0.0,0.0,0.0,2,0.6666666666666666,586.7856420626896
SIBALOM,ANTIQUE,6,63838.0,4.0,0.0,1.0,492.0,3505.0,10986418.219999999,0.6428571428571429,0.42857142857142855,0.2857142857142857,0.21428571428571427,0.07142857142857142,24,4.0,626.5779753621534
SIBONGA,CEBU,7,49764.0,0.0,0.0,0.0,2316.0,10397.0,7291776.0,1.0,0.0,0.0,0.0,0.0,1,1.0,439.58138413310826
SIBUCO,ZAMBOANGA DEL NORTE,9,1263.0,0.0,0.0,0.0,13.0,60.0,67210.0,0.5,0.0,0.0,0.0,0.0,5,2.5,246.1904761904762
SIBULAN,NEGROS ORIENTAL,7,3543.0,0.0,0.0,0.0,163.0,967.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0
SIBUNAG,GUIMARAS,6,75897.0,2.0,0.0,0.0,306.0,2294.0,5582259.8,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,16,3.2,256.6674237895995
SIERRA BULLONES,BOHOL,7,25700.0,0.0,0.0,0.0,395.0,5273.0,2120000.0,1.0,0.0,0.0,0.0,0.0,1,1.0,288.4746223976051
